"0","0","Basketball Men's Basketball"
"1","1","Judo Men's Extra-Lightweight"
"2","2","Football Men's Football"
"3","3","Tug-Of-War Men's Tug-Of-War"
"4","4","Speed Skating Women's 500 metres"
"5","4","Speed Skating Women's 1,000 metres"
"6","5","Cross Country Skiing Men's 10 kilometres"
"7","5","Cross Country Skiing Men's 50 kilometres"
"8","5","Cross Country Skiing Men's 10/15 kilometres Pursuit"
"9","5","Cross Country Skiing Men's 4 x 10 kilometres Relay"
"10","5","Cross Country Skiing Men's 30 kilometres"
"11","6","Athletics Women's 100 metres"
"12","6","Athletics Women's 4 x 100 metres Relay"
"13","7","Ice Hockey Men's Ice Hockey"
"14","8","Swimming Men's 400 metres Freestyle"
"15","9","Badminton Men's Singles"
"16","10","Sailing Women's Windsurfer"
"17","11","Biathlon Women's 7.5 kilometres Sprint"
"18","8","Swimming Men's 200 metres Breaststroke"
"19","8","Swimming Men's 400 metres Breaststroke"
"20","12","Gymnastics Men's Individual All-Around"
"21","12","Gymnastics Men's Team All-Around"
"22","12","Gymnastics Men's Floor Exercise"
"23","12","Gymnastics Men's Horse Vault"
"24","12","Gymnastics Men's Parallel Bars"
"25","12","Gymnastics Men's Horizontal Bar"
"26","12","Gymnastics Men's Rings"
"27","12","Gymnastics Men's Pommelled Horse"
"28","6","Athletics Men's Shot Put"
"29","13","Art Competitions Mixed Sculpturing, Unknown Event"
"30","14","Alpine Skiing Men's Downhill"
"31","14","Alpine Skiing Men's Super G"
"32","14","Alpine Skiing Men's Giant Slalom"
"33","14","Alpine Skiing Men's Slalom"
"34","14","Alpine Skiing Men's Combined"
"35","15","Handball Women's Handball"
"36","16","Weightlifting Women's Super-Heavyweight"
"37","17","Wrestling Men's Light-Heavyweight, Greco-Roman"
"38","4","Speed Skating Men's 500 metres"
"39","4","Speed Skating Men's 1,500 metres"
"40","12","Gymnastics Men's Team All-Around, Free System"
"41","18","Luge Women's Singles"
"42","19","Water Polo Men's Water Polo"
"43","10","Sailing Mixed Three Person Keelboat"
"44","20","Hockey Women's Hockey"
"45","21","Rowing Men's Lightweight Double Sculls"
"46","6","Athletics Men's Pole Vault"
"47","6","Athletics Men's High Jump"
"48","10","Sailing Men's Two Person Dinghy"
"49","6","Athletics Men's 1,500 metres"
"50","22","Bobsleigh Men's Four"
"51","8","Swimming Men's 100 metres Butterfly"
