"0","1992 Summer","1992","Summer","Barcelona"
"1","2012 Summer","2012","Summer","London"
"2","1920 Summer","1920","Summer","Antwerpen"
"3","1900 Summer","1900","Summer","Paris"
"4","1988 Winter","1988","Winter","Calgary"
"5","1992 Winter","1992","Winter","Albertville"
"6","1994 Winter","1994","Winter","Lillehammer"
"7","1932 Summer","1932","Summer","Los Angeles"
"8","2002 Winter","2002","Winter","Salt Lake City"
"9","1952 Summer","1952","Summer","Helsinki"
"10","1980 Winter","1980","Winter","Lake Placid"
"11","2000 Summer","2000","Summer","Sydney"
"12","1996 Summer","1996","Summer","Atlanta"
"13","1912 Summer","1912","Summer","Stockholm"
"14","1924 Summer","1924","Summer","Paris"
"15","2014 Winter","2014","Winter","Sochi"
"16","1948 Summer","1948","Summer","London"
"17","1998 Winter","1998","Winter","Nagano"
"18","2006 Winter","2006","Winter","Torino"
"19","2008 Summer","2008","Summer","Beijing"
"20","2016 Summer","2016","Summer","Rio de Janeiro"
"21","2004 Summer","2004","Summer","Athina"
"22","1960 Winter","1960","Winter","Squaw Valley"
"23","1964 Winter","1964","Winter","Innsbruck"
"24","1984 Winter","1984","Winter","Sarajevo"
"25","1984 Summer","1984","Summer","Los Angeles"
"26","1968 Summer","1968","Summer","Mexico City"
"27","1972 Summer","1972","Summer","Munich"
"28","1988 Summer","1988","Summer","Seoul"
"29","1936 Summer","1936","Summer","Berlin"
"30","1952 Winter","1952","Winter","Oslo"
"31","1956 Winter","1956","Winter","Cortina d'Ampezzo"
"32","1956 Summer","1956","Summer","Melbourne"
"33","1960 Summer","1960","Summer","Roma"
"34","1928 Summer","1928","Summer","Amsterdam"
"35","1976 Summer","1976","Summer","Montreal"
"36","1980 Summer","1980","Summer","Moskva"
"37","1964 Summer","1964","Summer","Tokyo"
"38","2010 Winter","2010","Winter","Vancouver"
"39","1968 Winter","1968","Winter","Grenoble"
"40","1906 Summer","1906","Summer","Athina"
"41","1972 Winter","1972","Winter","Sapporo"
"42","1976 Winter","1976","Winter","Innsbruck"
"43","1924 Winter","1924","Winter","Chamonix"
"44","1904 Summer","1904","Summer","St. Louis"
"45","1928 Winter","1928","Winter","Sankt Moritz"
"46","1908 Summer","1908","Summer","London"
"47","1948 Winter","1948","Winter","Sankt Moritz"
"48","1932 Winter","1932","Winter","Lake Placid"
"49","1936 Winter","1936","Winter","Garmisch-Partenkirchen"
"50","1896 Summer","1896","Summer","Athina"
