"0","Basketball"
"1","Judo"
"2","Football"
"3","Tug-Of-War"
"4","Speed Skating"
"5","Cross Country Skiing"
"6","Athletics"
"7","Ice Hockey"
"8","Swimming"
"9","Badminton"
"10","Sailing"
"11","Biathlon"
"12","Gymnastics"
"13","Art Competitions"
"14","Alpine Skiing"
"15","Handball"
"16","Weightlifting"
"17","Wrestling"
"18","Luge"
"19","Water Polo"
"20","Hockey"
"21","Rowing"
"22","Bobsleigh"
"23","Fencing"
"24","Equestrianism"
"25","Shooting"
"26","Boxing"
"27","Taekwondo"
"28","Cycling"
"29","Diving"
"30","Canoeing"
"31","Tennis"
"32","Modern Pentathlon"
"33","Figure Skating"
"34","Golf"
"35","Softball"
"36","Archery"
"37","Volleyball"
"38","Synchronized Swimming"
"39","Table Tennis"
"40","Nordic Combined"
"41","Baseball"
"42","Rhythmic Gymnastics"
"43","Freestyle Skiing"
"44","Rugby Sevens"
"45","Trampolining"
"46","Beach Volleyball"
"47","Triathlon"
"48","Ski Jumping"
"49","Curling"
"50","Snowboarding"
"51","Rugby"
"52","Short Track Speed Skating"
"53","Skeleton"
"54","Lacrosse"
"55","Polo"
"56","Cricket"
"57","Racquets"
"58","Motorboating"
"59","Military Ski Patrol"
"60","Croquet"
"61","Jeu De Paume"
"62","Roque"
"63","Alpinism"
"64","Basque Pelota"
"65","Aeronautics"
